cell_id;sample;plate;group;cell_line;exposure;chemical
C64;COV_P24_DMSO;P5;DMSO;COV434;control;DMSO
C67;COV_P24_DES_6;P5;DES_10-6M;COV434;exposed;DES
C68;COV_P24_DES_10;P5;DES_10-10M;COV434;exposed;DES
C65;COV_P24_KTZ_5;P5;KTZ_10-5M;COV434;exposed;KTZ
C66;COV_P24_KTZ_9;P5;KTZ_10-9M;COV434;exposed;KTZ
C69;COV_P26_DMSO;P5;DMSO;COV434;control;DMSO
C72;COV_P26_DES_6;P5;DES_10-6M;COV434;exposed;DES
C73;COV_P26_DES_10;P5;DES_10-10M;COV434;exposed;DES
C70;COV_P26_KTZ_5;P5;KTZ_10-5M;COV434;exposed;KTZ
C71;COV_P26_KTZ_9;P5;KTZ_10-9M;COV434;exposed;KTZ
C74;COV_P27_DMSO;P5;DMSO;COV434;control;DMSO
C77;COV_P27_DES_6;P5;DES_10-6M;COV434;exposed;DES
C78;COV_P27_DES_10;P5;DES_10-10M;COV434;exposed;DES
C75;COV_P27_KTZ_5;P5;KTZ_10-5M;COV434;exposed;KTZ
C76;COV_P27_KTZ_9;P5;KTZ_10-9M;COV434;exposed;KTZ
C49;KGN_P7_DMSO;P5;DMSO;KGN;control;DMSO
C52;KGN_P7_DES_6;P5;DES_10-6M;KGN;exposed;DES
C53;KGN_P7_DES_10;P5;DES_10-10M;KGN;exposed;DES
C50;KGN_P7_KTZ_5;P5;KTZ_10-5M;KGN;exposed;KTZ
C51;KGN_P7_KTZ_9;P5;KTZ_10-9M;KGN;exposed;KTZ
C54;KGN_P8_DMSO;P5;DMSO;KGN;control;DMSO
C57;KGN_P8_DES_6;P5;DES_10-6M;KGN;exposed;DES
C58;KGN_P8_DES_10;P5;DES_10-10M;KGN;exposed;DES
C55;KGN_P8_KTZ_5;P5;KTZ_10-5M;KGN;exposed;KTZ
C56;KGN_P8_KTZ_9;P5;KTZ_10-9M;KGN;exposed;KTZ
C59;KGN_P9_DMSO;P5;DMSO;KGN;control;DMSO
C62;KGN_P9_DES_6;P5;DES_10-6M;KGN;exposed;DES
C63;KGN_P9_DES_10;P5;DES_10-10M;KGN;exposed;DES
C60;KGN_P9_KTZ_5;P5;KTZ_10-5M;KGN;exposed;KTZ
C61;KGN_P9_KTZ_9;P5;KTZ_10-9M;KGN;exposed;KTZ
C94;X009_DMSO_1;P5;DMSO;Primary;control;DMSO
C95;X009_DMSO_2;P5;DMSO;Primary;control;DMSO
C84;X126_DMSO;P5;DMSO;Primary;control;DMSO
C87;X126_DES_6;P5;DES_10-6M;Primary;exposed;DES
C88;X126_DES_10;P5;DES_10-10M;Primary;exposed;DES
C85;X126_KTZ_5;P5;KTZ_10-5M;Primary;exposed;KTZ
C86;X126_KTZ_9;P5;KTZ_10-9M;Primary;exposed;KTZ
C89;X236_DMSO;P5;DMSO;Primary;control;DMSO
C92;X236_DES_6;P5;DES_10-6M;Primary;exposed;DES
C93;X236_DES_10;P5;DES_10-10M;Primary;exposed;DES
C90;X236_KTZ_5;P5;KTZ_10-5M;Primary;exposed;KTZ
C91;X236_KTZ_9;P5;KTZ_10-9M;Primary;exposed;KTZ
C79;X868_DMSO;P5;DMSO;Primary;control;DMSO
C82;X868_DES_6;P5;DES_10-6M;Primary;exposed;DES
C83;X868_DES_10;P5;DES_10-10M;Primary;exposed;DES
C80;X868_KTZ_5;P5;KTZ_10-5M;Primary;exposed;KTZ
C81;X868_KTZ_9;P5;KTZ_10-9M;Primary;exposed;KTZ
C96;Z405_DMSO_1;P5;DMSO;Primary;control;DMSO
C12;Z405_DMSO_2;P2;DMSO;Primary;control;DMSO
